property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,47 Etna Rd,Ithaca,NY,14850,120000,3,1.5,1143,1,1989,
Multi-Family (2-4 Unit),26A Prospect St Unit A,Trumansburg,NY,14886,234000,4,2,1904,0.8100091827364555,2004,
Single Family Residential,379 N Rd,Freeville,NY,13068,180000,3,1.5,1288,0.6699954086317723,1958,
Multi-Family (2-4 Unit),25 Meadowlark Dr,Ithaca,NY,14850,335280,4,3.5,2112,0.4300045913682277,1979,
Single Family Residential,303 Salem Dr,Ithaca,NY,14850,475000,4,2.5,2661,0.35,1961,
Single Family Residential,285 Ringwood Rd,Freeville,NY,13068,188700,3,2,1904,2.6800045913682276,1984,
Single Family Residential,593 W Groton Rd,Groton,NY,13073,85000,2,1,1036,24.639990817263545,1980,
Single Family Residential,707 Nelson Rd,Ithaca,NY,14850,125000,3,1,1056,1.9899908172635445,1935,
Single Family Residential,71 W Main St,Dryden,NY,13053,130000,3,1,1296,0.23578971533516987,1860,
Multi-Family (2-4 Unit),520 Etna Rd Unit A,Ithaca,NY,14850,195000,4,2,1968,0.85,1976,
Single Family Residential,251 Southworth Rd,Dryden,NY,13053,60000,3,2,1248,1.5100091827364555,1998,
Single Family Residential,352 Hunt Hill Rd,Ithaca,NY,14850,160000,1,1,576,0.6199954086317723,2014,
Single Family Residential,449 W Groton Rd,Groton,NY,13073,400000,4,2.5,2678,17,1880,
Single Family Residential,317 Davis Rd,Groton,NY,13073,112000,3,2,2354,0.9699954086317722,1960,
Single Family Residential,745 Cliff St,Ithaca,NY,14850,70000,3,1,1308,1.3,1860,
Single Family Residential,855 5 Mile Dr,Ithaca,NY,14850,270000,1,1,3820,4.639990817263545,1900,
Single Family Residential,1020 Danby Rd,Ithaca,NY,14850,225000,3,1,1224,0.35009182736455463,1978,
Single Family Residential,363 Lafayette Rd,Groton,NY,13073,200000,3,1,1560,1.1699954086317723,1880,
Multi-Family (2-4 Unit),1481 Slaterville Rd #81,Ithaca,NY,14850,336000,5,2.5,2048,0.9199954086317723,1987,
Single Family Residential,175 Lexington Dr,Ithaca,NY,14850,350000,3,1.5,1716,0.39141414141414144,1977,
Single Family Residential,109 Weeks Rd,Locke,NY,13092,252000,3,2,1498,107.73000459136823,1870,
Single Family Residential,213 Ludlowville Rd,Lansing,NY,14882,80000,2,1,1157,4.55,1840,
Single Family Residential,809 N Tioga St,Ithaca,NY,14850,390000,3,1,2614,0.1303030303030303,1860,
Single Family Residential,302 Hancock St,Ithaca,NY,14850,385000,3,2,2110,0.11019283746556474,1900,
Single Family Residential,110 Morris Ave,Ithaca,NY,14850,121000,3,1,1344,0.13257575757575757,1952,
Single Family Residential,510 S Plain St,Ithaca,NY,14850,115000,4,2,1828,0.12121212121212122,1900,
Multi-Family (2-4 Unit),543 Spencer Rd,Ithaca,NY,14850,210000,4,2.5,1840,0.18514692378328743,1910,
Single Family Residential,15 MCLEAN-CORTLAND RD,Groton,NY,13073,153500,2,1,1375,0.4861111111111111,1865,
Single Family Residential,1111 PERU SOUTH LANSING RD,Groton,NY,13073,310000,4,2,1971,1.9,1880,
Single Family Residential,242 Walpole Rd,Groton,NY,13073,180000,4,1,1784,4.9899908172635445,1900,
Single Family Residential,214 Chipman Corners Rd,Groton,NY,13073,217000,3,2,1248,6.15,2001,
Single Family Residential,1122 Ridge Rd,Lansing,NY,14882,303000,3,2,1890,5.2,2008,
Single Family Residential,6433 Podunk Rd,Trumansburg,NY,14886,180000,3,1,960,13.75,1987,
Single Family Residential,286 E Cortland St,Groton,NY,13073,270400,2,1,864,6.639990817263545,2008,
Single Family Residential,5401 Perry City Rd,Trumansburg,NY,14886,450000,3,2,1910,12.85,2015,
Single Family Residential,302 Etna Rd,Ithaca,NY,14850,300000,2,1,1748,24.330004591368226,1990,
Other,110 Bank St,Newfield,NY,14867,280000,5,4,3140,0.23999081726354454,1860,
Multi-Family (2-4 Unit),463 Hayts Rd,Ithaca,NY,14850,200000,5,3,2336,1.0699954086317722,1990,
Single Family Residential,81 Besemer Hill Rd,Ithaca,NY,14850,790000,4,3.5,4600,21.05,1999,
Single Family Residential,38 Church St Unit MCLEAN,Cortland,NY,13045,178000,3,1,1336,0.38000459136822773,1880,
Multi-Family (2-4 Unit),1860 NY-96,Trumansburg,NY,14886,57000,5,3,2009,0.7300045913682277,1860,
Single Family Residential,45 Lee Rd,Dryden,NY,13053,295000,3,1,2100,0.42240587695133147,1973,
Single Family Residential,96 W Main St,Dryden,NY,13053,174000,3,1.5,1152,0.5399908172635446,1865,
Townhouse,79 Lois Ln,Ithaca,NY,14850,222000,2,1.5,1230,0.03000459136822773,1985,
Single Family Residential,571 Spencer Rd,Ithaca,NY,14850,150000,3,1,1376,0.32084481175390267,1860,
Single Family Residential,821 N Aurora St,Ithaca,NY,14850,95000,2,1.5,904,0.1163682277318641,1945,
Single Family Residential,303 Linn St,Ithaca,NY,14850,360000,3,1.5,1764,0.1303030303030303,1890,
Multi-Family (5+ Unit),959 Dryden Rd Unit E,Ithaca,NY,14850,473102,5,3,2165,1.1100091827364555,1840,
Single Family Residential,43 Stevens Rd,Freeville,NY,13068,167000,3,1,1396,1.0100091827364555,1850,
Single Family Residential,1219 Danby Rd,Ithaca,NY,14850,230000,3,1,1260,3.8100091827364553,1967,
Multi-Family (2-4 Unit),514 Etna Rd,Ithaca,NY,14850,185000,4,2,1490,1.1,1850,
Multi-Family (2-4 Unit),829 Taughannock Blvd,Ithaca,NY,14850,1260000,6,3.5,3765,0.13000459136822773,1990,
Multi-Family (2-4 Unit),327 Cascadilla St,Ithaca,NY,14850,475000,6,2,2988,0.25,1910,
Single Family Residential,507 Valley Rd,Brooktondale,NY,14817,155000,3,1,1118,0.16000918273645545,1920,
Single Family Residential,210 Landon Rd,Ithaca,NY,14850,77000,2,1,870,1.2,2020,
Townhouse,1A Vista Ln,Ithaca,NY,14850,186000,3,1.5,1392,0.06999540863177227,1988,
Single Family Residential,51 Highgate Cir,Ithaca,NY,14850,633000,4,3,3059,0.6600091827364555,1971,
Single Family Residential,9 LaGrand Ct,Ithaca,NY,14850,580000,4,2.5,2840,0.55,1989,
Multi-Family (2-4 Unit),197 Lansing Station Rd,Lansing,NY,14882,450000,9,5.5,5040,4.2600091827364555,2013,
Multi-Family (2-4 Unit),12-14 Fuller Ln,Slaterville Springs,NY,14881,222500,4,2,1680,2.0600091827364553,2001,
Single Family Residential,34 Highgate Cir,Ithaca,NY,14850,605625,4,2.5,3304,0.43999081726354455,1979,
Single Family Residential,620 Warren Pl,Ithaca,NY,14850,485000,4,3.5,2988,0.4361799816345271,1978,
Multi-Family (2-4 Unit),118 E Falls St #1,Ithaca,NY,14850,210000,5,2,1948,0.12626262626262627,1890,
Single Family Residential,112 E Falls St,Ithaca,NY,14850,288000,3,1,1131,0.1147842056932966,1935,
Townhouse,107 Terrace View Dr,Ithaca,NY,14850,400000,2,2.5,1874,0.23000459136822773,1987,
Single Family Residential,311 Strawberry Hill Cir #1,Ithaca,NY,14850,300000,2,2,1363,0.03129017447199266,1985,
Single Family Residential,341 Strawberry Hill Cir #4,Ithaca,NY,14850,322200,2,2,1242,0.028512396694214875,1987,
Single Family Residential,655 Snyder Hill Rd,Ithaca,NY,14850,196000,4,3,2692,1.8199954086317722,1975,
Single Family Residential,612 Hector St,Ithaca,NY,14850,139000,2,1,786,0.2190082644628099,1931,
Single Family Residential,718 Elm St,Groton,NY,13073,149900,3,1,1835,0.37649219467401285,1971,
Single Family Residential,306 Wood St,Ithaca,NY,14850,295000,2,1,768,0.07699724517906337,1956,
Multi-Family (2-4 Unit),3 Elmcrest Cir,Ithaca,NY,14850,262500,3,3,1748,0.18999081726354453,1988,
Mobile/Manufactured Home,120 Benjamin Hill Rd,Newfield,NY,14867,160000,3,,960,30.939990817263546,1980,
Multi-Family (2-4 Unit),514 N Titus Ave,Ithaca,NY,14850,250000,3,2,1678,0.23305785123966943,1925,
Single Family Residential,1844 Coddington Rd,Brooktondale,NY,14817,211500,5,2.5,2520,9.069995408631772,1969,
Multi-Family (2-4 Unit),310 Linn St #2,Ithaca,NY,14850,345000,3,2,1448,0.12828282828282828,1890,
Multi-Family (2-4 Unit),163 Oakwood Ln,Ithaca,NY,14850,90000,4,2.5,2547,0.3646694214876033,1975,
Other,1180 E Shore Dr,Ithaca,NY,14850,105000,4,1.5,1927,0.4902892561983471,1880,
Single Family Residential,135 Muzzy Rd,Ithaca,NY,14850,970000,4,3,1999,4,2009,
Single Family Residential,101 Roat St,Ithaca,NY,14850,345000,3,1.5,1384,0.5144628099173554,1960,
Single Family Residential,671 Troy Rd,Ithaca,NY,14850,230000,4,1.5,1726,1,1975,
Single Family Residential,163 Pearsall Pl,Ithaca,NY,14850,327000,3,2,1372,0.2066115702479339,1930,
Single Family Residential,1733 Ragsdale Rd,Hope Mills,NC,28348,297706,4,2.5,1920,0.21999540863177228,2024,
Single Family Residential,4012 Yarborough Rd,Hope Mills,NC,28348,479000,3,3,3344,6.289990817263544,1951,
Single Family Residential,3728 Riverhill Dr,Fayetteville,NC,28306,600000,5,5,3219,,2023,
Single Family Residential,6837 Running Fox Rd,Hope Mills,NC,28348,334900,2,2,1863,,2024,
Single Family Residential,6109 Mabry Rd,Hope Mills,NC,28348,249900,4,2.5,2242,0.5,1965,
Single Family Residential,2059 Secluded Dell Rd,Fayetteville,NC,28306,399999,4,2.5,2405,0.2699954086317723,2024,
Single Family Residential,5226 Woodpecker Dr,Hope Mills,NC,28348,250000,3,2,1630,,2007,10
Single Family Residential,5416 Mountain Run Dr,Hope Mills,NC,28348,427700,3,2.5,2645,,2024,25
Single Family Residential,1208 Screech Owl Dr,Hope Mills,NC,28348,254000,3,2.5,1650,,2008,10
Single Family Residential,3657 Gainey Rd,Fayetteville,NC,28306,72800,3,1.5,1814,2,1940,
Single Family Residential,1376 Cypress Lakes Rd,Hope Mills,NC,28348,349900,4,2.5,2217,,2024,
Single Family Residential,5732 Gentleman Dr,Hope Mills,NC,28348,435000,5,3,2961,0.2699954086317723,2006,
Single Family Residential,2187 Cora Dr,Hope Mills,NC,28348,265000,4,2.5,1774,0.7600091827364555,2006,
Single Family Residential,2245 Mannington Dr,Fayetteville,NC,28306,359000,3,2.5,2200,,2024,35
Single Family Residential,1217 Thistle Gold Dr,Hope Mills,NC,28348,295000,4,2.5,2173,0.41999540863177226,2004,
Single Family Residential,5121 Carson Allen Rd,Hope Mills,NC,28348,420000,4,3.5,3329,,2014,
Single Family Residential,1621 John Mcmillan Rd,Hope Mills,NC,28348,375000,3,2,2009,1.0299816345270891,1982,
Single Family Residential,1427 Creekwood Rd,Hope Mills,NC,28348,462000,4,2.5,2916,,2020,16
Single Family Residential,452 Foxwood Dr,Hope Mills,NC,28348,380000,4,2.5,2564,0.9,1990,
Single Family Residential,905 Red Cedar Ln,Fayetteville,NC,28306,429000,4,3.5,2504,0.5199954086317723,2022,
Single Family Residential,1123 Masterpiece Dr,Hope Mills,NC,28348,380000,3,2,2345,,2005,
Single Family Residential,1525 Creekwood Rd,Hope Mills,NC,28348,415000,4,2.5,2704,0.5199954086317723,2020,16
Single Family Residential,5214 Woodpecker Dr,Hope Mills,NC,28348,269900,3,2,1661,0.2099862258953168,2007,10
Single Family Residential,321 Wishaw Ct,Hope Mills,NC,28348,348999,4,2.5,2410,0.22998163452708908,2019,47
Single Family Residential,656 Amusement (lot 193) Dr,Hope Mills,NC,28348,359900,4,2.5,2244,0.46999540863177225,2023,44
Single Family Residential,306 Otley Ct,Hope Mills,NC,28348,435000,6,3,3390,,2013,48
Single Family Residential,675 Amusement (lot 135) Dr,Hope Mills,NC,28348,376500,4,3.5,2395,0.21999540863177228,2023,44
Single Family Residential,2816 Sand Trap Ln,Hope Mills,NC,28348,435000,5,3.5,3001,0.36999540863177227,2016,
Single Family Residential,352 Glee St,Hope Mills,NC,28348,389706,4,3.5,2504,0.41999540863177226,2023,44
Single Family Residential,5136 Thruway Rd,Hope Mills,NC,28348,405000,4,2.5,2504,,2020,17
Single Family Residential,6222 Braxton Rd,Hope Mills,NC,28348,600000,3,2.5,3400,,1996,
Single Family Residential,7417 Sim Canady Rd,Parkton,NC,28371,270000,3,2,1422,2,1989,
Single Family Residential,1928 Pineville Dr,Hope Mills,NC,28348,305000,4,2.5,2101,,2007,
Single Family Residential,1633 Chicken Foot Rd,Hope Mills,NC,28348,75000,3,1,1394,,1945,
Single Family Residential,116 Ham Rd,Hope Mills,NC,28348,267000,3,2,1803,0.7649219467401286,1982,
Single Family Residential,6938 Running Fox Rd,Hope Mills,NC,28348,415000,4,3.5,2695,,2023,
Single Family Residential,4590 Pennystone Dr,Fayetteville,NC,28306,195000,3,2,1146,0.21999540863177228,1993,
Single Family Residential,650 Amusement Dr,Hope Mills,NC,28348,349900,4,2.5,2128,,2023,40
Single Family Residential,320 Glee Dr,Hope Mills,NC,28348,369900,4,2.5,2300,,2023,40
Single Family Residential,509 Amusement (lot 179) Dr,Hope Mills,NC,28348,370900,4,3,2286,0.21999540863177228,2023,44
Single Family Residential,326 Glee (lot 202) St,Hope Mills,NC,28348,370900,4,3,2305,0.28999081726354453,2023,44
Single Family Residential,533 Amusement (lot 183) Dr,Hope Mills,NC,28348,371500,4,3,2305,0.21999540863177228,2023,44
Single Family Residential,4110 Cabretto Cir,Fayetteville,NC,28306,250000,3,2.5,2082,0.41999540863177226,1995,
Single Family Residential,2241 Mannington Dr,Fayetteville,NC,28306,319000,3,2.5,2000,,2023,35
Single Family Residential,1320 Hunters Trl,Hope Mills,NC,28348,365000,4,2.5,2263,0.5799816345270891,2005,
Single Family Residential,2611 Riddle Farm Rd,Fayetteville,NC,28306,370000,4,2.5,2555,,2021,21
Single Family Residential,903 Screech Owl Dr,Hope Mills,NC,28348,290000,3,2.5,2022,0.21000918273645547,2014,10
Single Family Residential,5540 Mountain Run Dr,Hope Mills,NC,28348,429900,4,2.5,2883,0.6299816345270891,2021,42
Single Family Residential,1624 Man O War Dr,Hope Mills,NC,28348,396000,4,2.5,2949,,2015,30
Single Family Residential,620 Pecan Grove Loop,Hope Mills,NC,28348,369000,5,3.5,3461,,2011,15
Single Family Residential,4417 Ben Burns Ln,Hope Mills,NC,28348,369900,4,3.5,2493,,2020,
Single Family Residential,4515 Salem Prince Dr,Hope Mills,NC,28348,279900,3,2,1629,0.3599862258953168,2008,
Single Family Residential,614 Amusement Dr,Hope Mills,NC,28348,369706,3,2.5,2386,0.22998163452708908,2023,44
Single Family Residential,508 Rossendale Dr,Hope Mills,NC,28348,329900,4,2.5,3262,0.25,2012,38
Single Family Residential,2304 Cloudspin Ct,Hope Mills,NC,28348,367200,4,2.5,2586,0.4799816345270891,2019,21
Single Family Residential,1701 Ragsdale Rd,Hope Mills,NC,28348,297706,3,2,1819,0.46999540863177225,2023,25
Single Family Residential,644 Amusement Dr,Hope Mills,NC,28348,379706,3,3.5,2403,0.2699954086317723,2023,44
Single Family Residential,5117 Carson Allen Rd,Hope Mills,NC,28348,420000,5,4,3495,,2014,
Single Family Residential,3634 Dove Meadow Trl,Fayetteville,NC,28306,539900,4,3.5,3100,1.0299816345270891,2022,8
Single Family Residential,662 Amusement Dr,Hope Mills,NC,28348,379706,3,3.5,2403,0.21999540863177228,2023,44
Single Family Residential,638 Amusement Dr,Hope Mills,NC,28348,369706,3,2.5,2386,0.3,2023,44
Single Family Residential,608 Amusement Dr,Hope Mills,NC,28348,359706,4,2.5,2240,0.21999540863177228,2023,44
Single Family Residential,633 Amusement Dr,Hope Mills,NC,28348,369706,3,2.5,2386,0.2599862258953168,2023,44
Single Family Residential,623 Amusement Dr,Hope Mills,NC,28348,389706,4,3.5,2504,0.3399908172635445,2023,44
Single Family Residential,703 Amusement Dr,Hope Mills,NC,28348,369900,4,2.5,2300,,2023,40
Single Family Residential,709 Amusement Dr,Hope Mills,NC,28348,349900,4,2.5,2128,,2023,40
Single Family Residential,5670 Sidekick St,Hope Mills,NC,28348,299900,3,2,1629,,2023,40
Single Family Residential,716 Amusement Dr,Hope Mills,NC,28348,379900,4,2.5,2452,,2023,40
Single Family Residential,657 Amusement Dr,Hope Mills,NC,28348,369900,4,2.5,2365,,2023,40
Single Family Residential,2063 Secluded Dell Rd Rd,Fayetteville,NC,28306,450698,4,2.5,2363,0.25,2024,
Single Family Residential,807 Chevy Chase St,Fayetteville,NC,28306,198900,3,2,1204,0.2865013774104683,1993,
Single Family Residential,6520 Valley Falls Rd,Hope Mills,NC,28348,319950,3,2,1783,,2009,21
Single Family Residential,7721 Rufus Johnson Rd,Fayetteville,NC,28306,419900,3,3,2502,0.8,2024,
Single Family Residential,5915 Dottie Cir,Hope Mills,NC,28348,642000,4,3.5,3434,0.9,2024,
Single Family Residential,349 Gadson Dr,Hope Mills,NC,28348,350000,3,2.5,2026,0.5099862258953168,2018,15
Single Family Residential,7739 Rufus Johnson Rd,Fayetteville,NC,28306,429900,4,3.5,2626,0.8,2024,
Single Family Residential,5316 Mountain Run Dr,Hope Mills,NC,28348,402600,4,3.5,2470,0.43999081726354455,2023,25
Single Family Residential,1708 Ragsdale Rd,Hope Mills,NC,28348,306706,3,2.5,1992,0.22998163452708908,2023,25
Single Family Residential,1234 Hunters Trail Rd,Hope Mills,NC,28348,353500,3,2,2086,,2003,
Single Family Residential,3394 Blossom Rd,Fayetteville,NC,28306,339900,4,3,1954,1.4099862258953169,2024,
Single Family Residential,8513 Congressional Ave,Hope Mills,NC,28348,280000,4,3,1914,0.75,1994,
Single Family Residential,5808 Dottie Cir,Hope Mills,NC,28348,536900,4,4,2874,0.8100091827364555,2023,
Single Family Residential,1704 Ragsdale Rd,Hope Mills,NC,28348,306706,4,2.5,1920,0.3399908172635445,2023,25
Single Family Residential,4607 Revelstroke Rd,Hope Mills,NC,28348,297706,3,2,1819,0.3,2023,25
Single Family Residential,5212 Debut Ave,Hope Mills,NC,28306,367000,5,3,2607,0.18999081726354453,2021,36
Single Family Residential,1713 Ragsdale Rd,Hope Mills,NC,28348,306706,4,2.5,1920,0.21999540863177228,2023,25
Single Family Residential,1709 Ragsdale Rd,Hope Mills,NC,28348,294706,3,2.5,1817,0.2599862258953168,2023,25
Single Family Residential,1705 Ragsdale Rd,Hope Mills,NC,28348,286706,3,2,1618,0.5099862258953168,2023,25
Single Family Residential,1712 Ragsdale Rd,Hope Mills,NC,28348,294706,3,2.5,1817,0.21999540863177228,2023,25
Single Family Residential,1716 Ragsdale Rd,Hope Mills,NC,28348,286706,3,2,1618,0.2099862258953168,2023,25
Single Family Residential,4603 Revelstroke Rd,Hope Mills,NC,28348,286706,3,2,1618,0.4599862258953168,2023,25
Single Family Residential,425 Foxwood Dr,Hope Mills,NC,28348,345000,4,3,2318,,1992,
Single Family Residential,1181 Hunters Trl,Hope Mills,NC,28348,560000,4,3.5,3032,1.0299816345270891,2023,
Single Family Residential,1456 Creekwood (lot 37) Rd,Hope Mills,NC,28348,399900,4,3,2468,0.6599862258953169,2023,16
Single Family Residential,5133 Boxcut Ln,Hope Mills,NC,28348,370000,5,3,3107,,2016,33
Single Family Residential,5841 Dottie Cir,Hope Mills,NC,28348,504900,3,3,2705,0.8699954086317723,2023,
Single Family Residential,845 Red Cedar Ln,Fayetteville,NC,28306,249900,3,2,2116,,1996,
Single Family Residential,1405 Blue Ribbon Ln,Hope Mills,NC,28348,455000,6,3.5,3047,0.3600091827364555,2006,
Single Family Residential,1338 Joe Hall Rd,Hope Mills,NC,28348,399600,3,2,2173,1.25,2023,
Single Family Residential,2341 Cypress Lakes Rd,Hope Mills,NC,28348,430000,3,3,3035,0.6199954086317723,1984,
Single Family Residential,1713 Ramsdale Rd,Hope Mills,NC,28348,306706,4,2.5,1920,0.22998163452708908,2023,25
Single Family Residential,4604 Revelstroke Rd,Hope Mills,NC,28348,299706,4,2.5,1920,0.3,2023,25
Single Family Residential,5436 Debut (lot 358) Ave,Hope Mills,NC,28348,324900,3,2,1863,,2023,30
Single Family Residential,1701 Ramsdale Rd,Hope Mills,NC,28348,289706,3,2.5,1817,0.529981634527089,2023,25
Single Family Residential,5432 Debut (lot 359) Ave,Hope Mills,NC,28348,329900,3,2.5,1997,,2023,30
Single Family Residential,118 E Shore Cir,Ithaca,NY,14850,160001,2,1,781,0.8100091827364555,1906,
Mobile/Manufactured Home,1019 Salmon Creek Rd,Lansing,NY,14882,60000,,,1296,5.769995408631773,1994,
Single Family Residential,119 Morris Rd,Dryden,NY,13068,213500,4,1.5,2288,0.779981634527089,1976,
Single Family Residential,479 Sheldon Rd,Dryden,NY,13068,160000,3,2,1040,2.4899908172635445,1989,
Single Family Residential,32 Gulf Hill Rd,Groton,NY,13045,229900,4,2,1728,0.8491046831955923,1890,
Single Family Residential,4 Mill St,Dryden,NY,13053,395000,6,3.5,3282,0.38000459136822773,1876,
Single Family Residential,99 Wood Rd,Dryden,NY,13068,28000,3,1,980,,1992,
Single Family Residential,1375 Taughannock Blvd,Ithaca,NY,14850,175000,2,1,1285,0.6699954086317723,1930,
Single Family Residential,947 Ridge Rd,Lansing,NY,14882,157500,2,1,960,1.5699954086317722,1959,
Single Family Residential,1 Blackberry Ln,Dryden,NY,13068,65500,3,2,1792,0.03305785123966942,1988,
Single Family Residential,6 Goodrich Way,Dryden,NY,13053,360000,3,3.5,2614,0.4300045913682277,1990,
Single Family Residential,5 Bridle Ln,Dryden,NY,13053,280000,4,2,2366,1.1800045913682278,1986,
Single Family Residential,1 Jay St,Dryden,NY,13053,225000,3,1,1390,0.3,1962,
Single Family Residential,1537 Taughannock Blvd Blvd,Ulysses,NY,14850,1400000,4,4,2914,2.7,1977,
Multi-Family (2-4 Unit),303 Barrows St,Groton,NY,13073,90900,5,3,2238,0.38000459136822773,1880,
Single Family Residential,399 Ridge Rd,Lansing,NY,14882,225000,4,1,1206,8.219995408631773,1929,
Single Family Residential,205 Bossard Rd,Groton,NY,13073,490718,3,2.5,1976,14.789990817263545,1994,
Single Family Residential,12 Lewis St,Dryden,NY,13053,275000,4,1.5,2230,0.336455463728191,1940,
Townhouse,15 Woodland Way,Lansing,NY,14850,622500,4,3.5,3969,0.11999540863177227,2012,
Single Family Residential,105 Berkshire Rd,Ithaca,NY,14850,649000,4,3,3262,0.7300045913682277,1958,
Single Family Residential,610 Auburn Rd,Lansing,NY,13073,75000,3,1,1188,0.5199954086317723,1966,
Single Family Residential,128 Triphammer Ter,Lansing,NY,14850,310000,4,2.5,1988,0.8899908172635446,1984,
Single Family Residential,1016 Cayuga Heights Rd,Lansing,NY,14850,855000,4,2,2560,1.379981634527089,1965,
Single Family Residential,26 Applewood Ln,Dryden,NY,13053,55000,3,2,1736,0.5300045913682278,2008,
Single Family Residential,30 Buck Rd,Lansing,NY,14882,258000,2,1,881,0.9699954086317722,1956,
Single Family Residential,1040 Glenwood Rd,Ulysses,NY,14850,785000,3,2.5,2478,0.75,1989,
Single Family Residential,157 Cayuga St,Groton,NY,13073,190000,4,2.5,2524,2.5699954086317724,1880,
Single Family Residential,188 Freeville Rd,Dryden,NY,13053,315500,4,1.5,2696,1.3399908172635446,1964,
Single Family Residential,24 Dart Dr,Lansing,NY,14850,425000,3,1.5,1680,1.1399908172635445,1960,
Single Family Residential,24 Eden Dr,Groton,NY,13073,229175,4,2,1680,0.9300045913682278,2010,
Single Family Residential,188 Main St,Freeville,NY,13068,310500,4,2,2658,1.3399908172635446,1964,
Single Family Residential,188 Main St,Dryden,NY,,310500,4,2,2658,1.3399908172635446,1964,
Single Family Residential,429 W Groton Rd,Groton,NY,13073,325000,3,2,2310,4.7,2007,
Single Family Residential,211 Jerry Smith Rd,Lansing,NY,14882,262500,3,1.5,1484,1.9,1970,
Single Family Residential,143 Woodsedge Dr,Lansing,NY,14882,306000,3,2,1680,1.0399908172635446,2015,
Single Family Residential,59 Mill St,Dryden,NY,13053,179000,4,2,1765,0.38739669421487605,1959,
Single Family Residential,28 James St,Dryden,NY,13053,270000,5,3,1984,0.3464187327823691,1983,
Single Family Residential,16 Harbor Cir,Ithaca-town,NY,14850,27500,3,1,970,,1989,
Single Family Residential,353 Virgil Rd,Dryden,NY,13053,683000,4,3,4882,11.910009182736456,2001,
Single Family Residential,940 Ridge Rd,Lansing,NY,14882,315000,3,1.5,1240,2.330004591368228,1968,
Single Family Residential,52 Yellow Barn Rd,Freeville,NY,13068,246000,3,1.5,1430,0.3546831955922865,1966,
Single Family Residential,81 Upper Creek Rd,Freeville,NY,13068,310000,4,2,2350,1.0800045913682277,1956,
Single Family Residential,101 Morris Rd,Dryden,NY,,302500,4,2,1995,1.7399908172635445,1978,
Single Family Residential,110 Old Stage Rd,Groton,NY,13073,275000,3,3,2156,4.25,1977,
Single Family Residential,1260 Warren Rd,Lansing,NY,14850,515000,4,3.5,4340,1.2,2018,
Single Family Residential,15 Brookhaven Dr,Lansing,NY,14850,405000,3,2,2891,0.5100091827364555,1967,
Single Family Residential,801 Salt Rd,Groton,NY,13073,190000,3,2,1568,6.45,2002,
Single Family Residential,404 Caswell Rd,Dryden,NY,13068,290526,2,1.5,1725,1.7199954086317724,1997,
Single Family Residential,17 Franklyn Dr,Lansing,NY,,395000,4,2.5,2086,1.8300045913682277,1971,
Single Family Residential,49 Gulf Hill Rd,Dryden,NY,13045,80500,4,1,2176,1.2899908172635446,1865,
Single Family Residential,310 Lower Creek Rd,Ithaca,NY,14850,158000,1,1,1080,0.4017447199265381,1952,
Single Family Residential,37 Janivar Dr,Lansing,NY,14850,540000,4,2.5,2017,0.3899908172635445,1994,
Single Family Residential,32 Greystone Dr,Dryden,NY,13053,318000,3,2,1727,0.26859504132231404,1976,
Single Family Residential,310 Clark Street Ext. Ext,Groton,NY,13073,435000,3,3.5,4612,2.330004591368228,2005,
Single Family Residential,4 Sherbore Dr,Dryden,NY,,264250,3,2,1602,0.6899908172635445,1969,
Single Family Residential,201 S Parkway St,Groton,NY,13073,100000,3,1,1188,0.5300045913682278,1915,
Single Family Residential,31 Upper Creek Rd,Dryden,NY,13062,292000,5,1.5,2632,1.0399908172635446,1875,
Single Family Residential,39 Ridge Rd,Lansing,NY,,270000,4,2.5,1797,1.2699954086317722,1815,
Single Family Residential,309 E Cortland St,Groton,NY,13073,185000,3,1,1209,0.14499540863177227,1890,
Single Family Residential,78 Devlen Rd,Groton,NY,13073,374282,3,2,2016,16.939990817263546,2015,
Single Family Residential,16 Millcroft Way Way,Lansing,NY,14850,799000,3,2.5,4015,1.25,2008,
Single Family Residential,373 Conlon Rd,Lansing,NY,,320000,5,2,2146,1.5,1949,
Single Family Residential,205 Upper Creek Rd,Dryden,NY,13068,140000,4,2,1520,0.75,1950,
Single Family Residential,20 Asbury Rd,Lansing,NY,,440000,3,2.5,2570,0.7199954086317722,2014,
Single Family Residential,37 Yellow Barn Road Rd,Dryden,NY,,305000,3,2,2379,0.3899908172635445,1965,
Single Family Residential,6 Armstrong Rd,Lansing,NY,14882,550000,4,2.5,2808,1.9,2005,
Single Family Residential,2250 N Triphammer Rd Unit E10,Lansing,NY,14850,217000,2,1,925,0.02268135904499541,1960,432
Single Family Residential,12 Gulf Hill Rd,Groton,NY,13045,174900,3,1.5,1429,2.4699954086317724,1850,
Single Family Residential,2102 Houghton Rd,Ulysses,NY,14850,372500,3,1.5,1923,5.95,1820,
Single Family Residential,197 Virgil Rd,Dryden,NY,13053,258000,2,2,1559,1,1860,
Single Family Residential,373 Luce Rd,Groton,NY,13073,421500,3,2,2508,1.8800045913682277,1986,
Single Family Residential,106 Bird Cemetery Rd,Groton,NY,13073,340000,3,2,2411,19.03000459136823,1860,
Single Family Residential,373 Luce Rd,Lansing,NY,,421500,4,2.5,3532,1.8800045913682277,1986,
