property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,707 Mitchell St,Ithaca,NY,14850,501000,3,1.5,1675,0.11999540863177227,1930,
Single Family Residential,1305 E State St,Ithaca,NY,14850,560000,4,2.5,2035,0.24299816345270892,1937,
Single Family Residential,51 Sapsucker Woods Rd,Dryden,NY,14850,195000,1,1,905,0.4526629935720845,1805,
Single Family Residential,1322 Hanshaw Rd,Ithaca,NY,14850,290000,3,1,953,0.5199954086317723,1959,
Single Family Residential,503 Warren Rd,Ithaca,NY,14850,462000,4,2.5,1968,0.6699954086317723,1939,
Single Family Residential,48 Lansing Station Rd,Lansing,NY,14882,291000,3,2,2290,0.9,1993,
Single Family Residential,1500 Trumansburg Rd,Ithaca,NY,14850,348000,4,3,2034,1.8399908172635446,1950,
Single Family Residential,558 Old Stage Rd,Groton,NY,13073,215000,3,2,1456,2.980004591368228,2000,
Single Family Residential,2009 Dryden Rd,Freeville,NY,13068,226700,3,3.5,1632,0.38000459136822773,1962,
Single Family Residential,305 Elmwood Ave,Ithaca,NY,14850,525000,3,2,2139,,1930,
Single Family Residential,423 Mitchell St,Ithaca,NY,14850,60000,3,1,1200,0.14692378328741965,1928,
Single Family Residential,217 Wood St,Ithaca,NY,14850,330000,2,2,1480,0.23999081726354454,1915,
Single Family Residential,123 Woolf,Ithaca,NY,14850,515000,4,2.5,2916,0.5800045913682277,1990,
Single Family Residential,580 Buck Rd,Lansing,NY,14882,369000,4,2,1950,1.6300045913682277,1971,
Single Family Residential,5 Marina Rd,Lansing,NY,14882,111000,3,1,1281,0.28000459136822775,1860,
Single Family Residential,19 Locke Rd,Locke,NY,13092,315000,3,2,1530,0.8199954086317722,1977,
Single Family Residential,30 Rochester St,Dryden,NY,13053,130000,4,2.5,1707,0.5600091827364555,1951,
Multi-Family (2-4 Unit),603 N Cayuga St,Ithaca,NY,14850,550000,,,2714,0.10943526170798898,1980,
Multi-Family (2-4 Unit),409 N Cayuga St,Ithaca,NY,14850,440000,,,3420,0.11019283746556474,1860,
Townhouse,7 Woodland Way,Ithaca,NY,14850,605000,3,2.5,2911,0.13000459136822773,2016,
Single Family Residential,73 Aspen Way,Ithaca,NY,14850,595500,3,2.5,2678,0.9699954086317722,1997,
Single Family Residential,1818 E Shore Dr,Lansing,NY,14850,179500,5,3,2016,0.4599862258953168,1947,
Multi-Family (5+ Unit),110 N Titus Ave,Ithaca,NY,14850,805000,,,3487,0.23700642791551882,1875,
Multi-Family (2-4 Unit),137 E Spencer St,Ithaca,NY,14850,487500,,,3792,0.16999540863177226,1887,
Multi-Family (2-4 Unit),128 Eddy St,Ithaca,NY,14850,690000,,,2580,,1890,
Multi-Family (5+ Unit),876 W Dryden Rd,Freeville,NY,13068,720000,,,3000,10,2002,
Single Family Residential,229 Gulf Hill Rd,Freeville,NY,13068,250000,4,2,2268,1.2600091827364555,2009,
Single Family Residential,61 Genung Rd,Ithaca,NY,14850,258000,5,2.5,2400,1.25,1968,
Townhouse,82 Nor Way,Ithaca,NY,14850,580000,3,3.5,2500,0.16999540863177226,2021,250
Single Family Residential,101 Brandon Pl,Ithaca,NY,14850,485000,5,3.5,2210,0.13999081726354454,1915,
Single Family Residential,1875 Hanshaw Rd,Ithaca,NY,14850,57500,3,1,992,0.6399908172635446,1956,
Single Family Residential,1175 Taughannock Blvd,Ithaca,NY,14850,1575000,4,2.5,2755,4.089990817263544,1969,
Single Family Residential,9 Lee Rd,Dryden,NY,13053,224900,3,2,2009,0.41944444444444445,1949,
Multi-Family (2-4 Unit),104 Pleasant St,Groton,NY,13073,132000,5,2,2078,0.1169880624426079,1880,
Single Family Residential,112 Warwick Pl,Ithaca,NY,14850,500000,5,3,2220,0.46999540863177225,1963,
Single Family Residential,38 Bank St,Newfield,NY,14867,267000,3,2,1248,1.3300045913682277,1997,
Single Family Residential,11 Highland Cres,Dryden,NY,13053,220000,3,2,1911,0.4800045913682277,1959,
Single Family Residential,939 Peru Rd,Groton,NY,13073,130000,3,2,1080,1,1989,
Single Family Residential,1 Lowell Pl,Ithaca,NY,14850,605000,4,3,2998,0.5300045913682278,1985,
Multi-Family (2-4 Unit),121 Birdseye View Dr,Ithaca,NY,14850,498000,5,4.5,3300,0.23000459136822773,2018,200
Multi-Family (2-4 Unit),124 Eastern Heights Dr,Ithaca,NY,14850,370000,6,2,2480,0.35,1972,
Single Family Residential,115 Winston Dr,Ithaca,NY,14850,370000,5,2,1782,0.3399908172635445,1963,
Single Family Residential,126 Birchwood Dr,Ithaca,NY,14850,452250,5,4,2736,0.3899908172635445,1996,
Single Family Residential,308 Lake Ave,Ithaca,NY,14850,519000,3,2,2079,0.13999081726354454,1860,
Single Family Residential,116 Park St,Ithaca,NY,14850,286000,3,2,1048,0.07493112947658402,1925,
Single Family Residential,112 Pennsylvania Ave,Trumansburg,NY,14886,255000,2,1,792,,1957,
Single Family Residential,59 Sapsucker Woods Rd,Ithaca,NY,14850,286500,4,2,1250,0.45,1959,
Single Family Residential,116 Penny Ln,Ithaca,NY,14850,330000,2,1.5,1536,0.3199954086317723,1988,
Single Family Residential,111 Tudor Rd,Ithaca,NY,14850,495000,5,3,2876,0.6179981634527089,1971,
Single Family Residential,23 Asbury Dr,Ithaca,NY,14850,260000,5,2.5,2208,0.45,1980,
Single Family Residential,84 Farrell Rd,Ithaca,NY,14850,430000,4,2.5,2686,1.9899908172635445,2008,
Single Family Residential,76 Michigan Hollow Rd,Ithaca,NY,14850,581000,4,3,3012,5,1990,
Single Family Residential,117 Simsbury Dr,Ithaca,NY,14850,438000,3,2.5,1945,0.55,1972,
