Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
7/02/2023,70,PM2.5,EAST SYRACUSE,36-067-1015,AQS,140,27,40,7/02/2002,7/02/2013
7/03/2023,46,PM2.5,EAST SYRACUSE,36-067-1015,AQS,119,29,42.8,7/03/2003,7/03/2009
7/04/2023,57,PM2.5,EAST SYRACUSE,36-067-1015,AQS,169,27,43.2,7/04/2003,7/04/2014
7/05/2023,54,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,29,49.8,7/05/2003,7/05/2002
7/06/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,23,48.2,7/06/2010,7/06/2000
7/07/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,142,29,51.8,7/07/2002,7/07/2000
7/08/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,140,22,38,7/08/2010,7/08/2009
7/09/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,87,31,48,7/09/2007,7/09/2017
7/10/2023,29,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,19,44.8,7/10/2007,7/10/2016
7/11/2023,77,Ozone,EAST SYRACUSE,36-067-1015,AQS,101,28,41.4,7/11/2005,7/11/2013
7/12/2023,41,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,21,45.6,7/12/2012,7/12/2001
07/13/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,29,44.8,07/13/2012,07/13/2011
07/14/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,136,25,49.6,07/14/2002,07/14/2001
07/15/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,25,41.2,07/15/2003,07/15/2015
07/16/2023,41,Ozone,FULTON,36-075-0003,AQS,77,30,41.4,07/16/2011,07/16/2016
07/17/2023,121,PM2.5,EAST SYRACUSE,36-067-1015,AQS,164,26,35.8,07/17/2002,07/17/2014
